Parameter,Species,Value
Linf,Scarus_psittacus,27.8
K,Scarus_psittacus,1.65
t0,Scarus_psittacus,-0.29
tmax,Scarus_psittacus,6
M,Scarus_psittacus,0.5
Wa,Scarus_psittacus,0.01
Wb,Scarus_psittacus,3.32
m50,Scarus_psittacus,19.6
m95,Scarus_psittacus,
Linf,Chlorurus_sordidus,28.9
K,Chlorurus_sordidus,0.44
t0,Chlorurus_sordidus,-0.76
tmax,Chlorurus_sordidus,10
M,Chlorurus_sordidus,0.3
Wa,Chlorurus_sordidus,0.024
Wb,Chlorurus_sordidus,2.97
m50,Chlorurus_sordidus,17
m95,Chlorurus_sordidus,
Linf,Naso_lituratus,32.2
K,Naso_lituratus,0.34
t0,Naso_lituratus,-0.66
tmax,Naso_lituratus,25
M,Naso_lituratus,0.12
Wa,Naso_lituratus,0.05
Wb,Naso_lituratus,2.84
m50,Naso_lituratus,25
m95,Naso_lituratus,
Linf,Scarus_rubroviolaceus,56.3
K,Scarus_rubroviolaceus,0.29
t0,Scarus_rubroviolaceus,-0.81
tmax,Scarus_rubroviolaceus,22
M,Scarus_rubroviolaceus,0.14
Wa,Scarus_rubroviolaceus,0.014
Wb,Scarus_rubroviolaceus,3.11
m50,Scarus_rubroviolaceus,37.4
m95,Scarus_rubroviolaceus,